x1,x2,F1,F2
-0.274000,-0.274000,0.084330,0.479413
-0.272000,-0.272000,0.085050,0.481177
-0.270000,-0.270000,0.085770,0.482944
-0.268000,-0.268000,0.086500,0.484713
-0.266000,-0.266000,0.087230,0.486485
-0.264000,-0.264000,0.087970,0.488259
-0.262000,-0.262000,0.088720,0.490035
-0.260000,-0.260000,0.089470,0.491814
-0.258000,-0.258000,0.090230,0.493594
-0.256000,-0.256000,0.090990,0.495377
-0.254000,-0.254000,0.091760,0.497161
-0.252000,-0.252000,0.092530,0.498948
-0.250000,-0.250000,0.093310,0.500736
-0.248000,-0.248000,0.094100,0.502527
-0.246000,-0.246000,0.094890,0.504319
-0.244000,-0.244000,0.095690,0.506112
-0.242000,-0.242000,0.096490,0.507908
-0.240000,-0.240000,0.097300,0.509704
-0.238000,-0.238000,0.098110,0.511503
-0.236000,-0.236000,0.098940,0.513302
-0.234000,-0.234000,0.099760,0.515103
-0.232000,-0.232000,0.100600,0.516906
-0.230000,-0.230000,0.101400,0.518709
-0.228000,-0.228000,0.102300,0.520514
-0.226000,-0.226000,0.103100,0.522319
-0.224000,-0.224000,0.104000,0.524126
-0.222000,-0.222000,0.104900,0.525933
-0.220000,-0.220000,0.105700,0.527742
-0.218000,-0.218000,0.106600,0.529551
-0.216000,-0.216000,0.107500,0.531360
-0.214000,-0.214000,0.108400,0.533170
-0.212000,-0.212000,0.109300,0.534981
-0.210000,-0.210000,0.110200,0.536792
-0.208000,-0.208000,0.111100,0.538603
-0.206000,-0.206000,0.112000,0.540415
-0.204000,-0.204000,0.112900,0.542227
-0.202000,-0.202000,0.113900,0.544038
-0.200000,-0.200000,0.114800,0.545850
-0.198000,-0.198000,0.115700,0.547662
-0.196000,-0.196000,0.116700,0.549473
-0.194000,-0.194000,0.117600,0.551284
-0.192000,-0.192000,0.118600,0.553094
-0.190000,-0.190000,0.119600,0.554904
-0.188000,-0.188000,0.120600,0.556714
-0.186000,-0.186000,0.121500,0.558522
