th13,dm31,real,walker
0.0268933,2.5216,0.443996,1
0.0268833,2.52137,0.443286,1
0.0268833,2.52137,0.443286,1
0.0268833,2.52137,0.443286,1
0.0268833,2.52137,0.443286,1
0.0268833,2.52137,0.443286,1
0.0268833,2.52137,0.443286,1
0.0268833,2.52137,0.443286,1
0.0271006,2.5537,0.427483,1
0.0271006,2.5537,0.427483,1
0.0277952,2.56693,0.517242,1
0.0277952,2.56693,0.517242,1
0.027376,2.55783,0.495392,1
0.027376,2.55783,0.495392,1
0.027376,2.55783,0.495392,1
0.0261023,2.55069,0.372551,1
0.0261023,2.55069,0.372551,1
0.0261023,2.55069,0.372551,1
0.0264502,2.53992,0.398811,1
0.0264502,2.53992,0.398811,1
0.0249485,2.49072,0.295619,1
0.024845,2.50335,0.283277,1
0.0250045,2.50436,0.306191,1
0.0250045,2.50436,0.306191,1
0.0246934,2.54298,0.279201,1
0.0246934,2.54298,0.279201,1
0.0246169,2.53668,0.272612,1
0.0271684,2.3602,0.415187,2
0.0277018,2.34228,0.451663,2
0.0304188,2.32034,0.615807,2
0.0304188,2.32034,0.615807,2
0.0304188,2.32034,0.615807,2
0.0304188,2.32034,0.615807,2
0.0304188,2.32034,0.615807,2
0.0279015,2.38231,0.384114,2
0.0279015,2.38231,0.384114,2
0.0279015,2.38231,0.384114,2
0.0278894,2.40859,0.338442,2
0.0280379,2.39622,0.369571,2
0.0280379,2.39622,0.369571,2
0.0280379,2.39622,0.369571,2
0.0266581,2.40894,0.289774,2
0.0257173,2.42049,0.21046,2
0.0257173,2.42049,0.21046,2
0.0210958,2.50632,-0.0601586,2
0.0218692,2.48919,-0.0655554,2
0.0218433,2.49102,-0.0779003,2
0.0215893,2.50061,-0.0280787,2
0.0215893,2.50061,-0.0280787,2
0.0215893,2.50061,-0.0280787,2
0.0215893,2.50061,-0.0280787,2
0.0215893,2.50061,-0.0280787,2
0.0215893,2.50061,-0.0280787,2
0.0215893,2.50061,-0.0280787,2
0.0215893,2.50061,-0.0280787,2
0.0221544,2.49583,0.00376331,2
0.0221544,2.49583,0.00376331,2
0.0222712,2.51495,-0.0368398,2
0.0215245,2.54512,-0.11066,2
0.0215245,2.54512,-0.11066,2
0.0215124,2.53898,-0.0991466,2
0.0214484,2.54054,-0.106057,2
0.0211581,2.54788,-0.158012,2
0.0211471,2.55041,-0.156627,2
0.022678,2.50705,0.0138826,2
0.022678,2.50705,0.0138826,2
0.0238108,2.51468,0.108691,2
0.0238108,2.51468,0.108691,2
0.0238553,2.50846,0.115315,2
0.0238553,2.50846,0.115315,2
0.0233898,2.50583,0.0846032,2
0.0238538,2.50147,0.130855,2
0.0243035,2.50801,0.229236,2
0.0251079,2.50146,0.30336,2
0.0243302,2.48872,0.26081,2
0.0243302,2.48872,0.26081,2
0.0243302,2.48872,0.26081,2
0.026306,2.47022,0.349057,2
0.028144,2.44569,0.549069,2
0.0271208,2.4779,0.471913,2
0.0277439,2.48156,0.520105,2
0.0277391,2.47766,0.518275,2
0.0274756,2.4798,0.500158,2
0.0273528,2.47995,0.485972,2
0.0262329,2.47799,0.354738,2
0.0262329,2.47799,0.354738,2
0.0263562,2.47356,0.369451,2
0.0263562,2.47356,0.369451,2
0.0263562,2.47356,0.369451,2
0.02637,2.47569,0.36952,2
0.02637,2.47569,0.36952,2
0.0264003,2.47488,0.37149,2
0.0237247,2.52718,0.25904,2
0.0237247,2.52718,0.25904,2
0.0224097,2.49708,0.080862,2
0.0224097,2.49708,0.080862,2
0.0224097,2.49708,0.080862,2
0.0202873,2.56266,-0.141223,2
0.0203073,2.56039,-0.143642,2
0.02153,2.53935,-0.0625615,2
0.02153,2.53935,-0.0625615,2
0.0212118,2.54746,-0.0959993,2
0.0205565,2.56515,-0.161146,2
0.0205565,2.56515,-0.161146,2
0.0211518,2.54436,-0.108629,2
0.021552,2.53948,-0.0653241,2
0.021552,2.53948,-0.0653241,2
0.0214183,2.53257,-0.0816163,2
0.0219422,2.48908,-0.0249377,2
0.0219422,2.48908,-0.0249377,2
0.0229941,2.49997,0.0565579,2
0.0236121,2.44335,0.1331,2
0.0236121,2.44335,0.1331,2
0.0240055,2.43354,0.127482,2
0.0218797,2.43798,-0.0928803,2
0.0217471,2.44888,-0.0837779,2
0.0222927,2.45425,-0.0359775,2
0.0222946,2.38159,-0.0955911,2
0.0221558,2.38738,-0.122162,2
0.0221558,2.38738,-0.122162,2
0.0221558,2.38738,-0.122162,2
0.0221558,2.38738,-0.122162,2
0.0221558,2.38738,-0.122162,2
0.0223778,2.40234,-0.060528,2
0.0223991,2.40134,-0.0667622,2
0.0223991,2.40134,-0.0667622,2
0.0223991,2.40134,-0.0667622,2
0.0223991,2.40134,-0.0667622,2
0.0220601,2.40368,-0.0976134,2
0.0219365,2.3987,-0.0692192,2
0.0219365,2.3987,-0.0692192,2
0.0219685,2.36719,0.0615622,2
0.0217603,2.35601,0.0520244,2
0.0217603,2.35601,0.0520244,2
0.0215744,2.34791,0.0353197,2
0.0217309,2.35213,0.0494013,2
0.0217309,2.35213,0.0494013,2
0.0217309,2.35213,0.0494013,2
0.0223697,2.38967,0.0895045,2
0.0223697,2.38967,0.0895045,2
0.0226255,2.41085,0.0604231,2
0.0227321,2.41489,0.0705407,2
0.0221128,2.39207,0.078742,2
0.0221233,2.39452,0.0621394,2
0.0237667,2.42175,0.161209,2
0.0237667,2.42175,0.161209,2
0.0252353,2.41891,0.246291,2
0.0252353,2.41891,0.246291,2
0.0253934,2.41901,0.276681,2
0.0253934,2.41901,0.276681,2
0.025415,2.4624,0.319163,2
0.0256835,2.45418,0.339925,2
