th13,dm31,walker
0.0227507,2.52352,3
0.0230933,2.55909,3
0.0231694,2.50506,3
0.0225628,2.50297,3
0.0225373,2.50124,3
0.02234,2.52412,3
0.0223284,2.53088,3
0.0223277,2.5235,3
0.0223277,2.5235,3
0.0227429,2.49778,3
0.0228295,2.5008,3
0.0228295,2.5008,3
0.0233087,2.47073,3
0.0233694,2.47173,3
0.0233694,2.47173,3
0.0231928,2.46913,3
0.0227286,2.46854,3
0.0224654,2.45825,3
0.0225106,2.45082,3
0.0229635,2.40879,3
0.0228145,2.42032,3
0.0231677,2.38519,3
0.0231677,2.38519,3
0.0231998,2.38368,3
0.0226987,2.3918,3
0.0229486,2.41629,3
0.0229486,2.41507,3
0.022987,2.41278,3
0.022987,2.41278,3
0.0229808,2.41157,3
0.0231064,2.40305,3
0.0231064,2.40305,3
0.0231064,2.40305,3
0.0231064,2.40305,3
0.0232924,2.38993,3
0.0230443,2.42087,3
0.0226689,2.43303,3
0.0225817,2.44119,3
0.0225817,2.44119,3
0.0225817,2.44119,3
0.0224145,2.44056,3
0.0224145,2.44056,3
0.0224145,2.44056,3
0.0224063,2.44021,3
0.0224016,2.4269,3
0.0226463,2.4351,3
0.0226463,2.4351,3
0.0226463,2.4351,3
0.0225456,2.46044,3
0.0229244,2.45219,3
0.0228789,2.45595,3
0.0228825,2.45731,3
0.0226701,2.46115,3
0.0226822,2.46153,3
0.0227053,2.45904,3
0.0227053,2.45904,3
0.0230256,2.44503,3
0.0229906,2.45376,3
0.0229906,2.45376,3
0.0225362,2.46485,3
0.0225362,2.46485,3
0.0223434,2.47611,3
0.0220226,2.47207,3
0.0220226,2.47207,3
0.0220018,2.47003,3
0.0221765,2.48157,3
0.0219523,2.49613,3
0.022056,2.49046,3
0.0219697,2.4862,3
0.0221139,2.49822,3
0.0221381,2.50356,3
0.0225064,2.47546,3
0.0225064,2.47546,3
0.0224323,2.44997,3
0.0224582,2.44397,3
0.0224391,2.42105,3
0.0224391,2.42105,3
0.0224448,2.4243,3
0.0224448,2.4243,3
0.0227049,2.43952,3
0.0226882,2.43942,3
0.0226048,2.44351,3
0.0225949,2.43798,3
0.0225287,2.44737,3
0.0224176,2.48613,3
0.0227058,2.46746,3
0.0223207,2.42729,3
0.0223207,2.42729,3
0.0220107,2.46941,3
0.0221424,2.49583,3
0.0216353,2.47266,3
0.0219528,2.48335,3
0.0218669,2.46683,3
0.0220027,2.47043,3
0.0220027,2.47043,3
0.0218507,2.44552,3
0.0218507,2.44552,3
0.0218109,2.43882,3
0.0220149,2.45635,3
0.0220149,2.45635,3
0.0217163,2.46121,3
0.0216567,2.46681,3
0.0217278,2.46454,3
0.0217278,2.46454,3
0.0217278,2.46454,3
0.0217278,2.46454,3
0.0211471,2.42175,3
0.0211471,2.42175,3
0.0211976,2.42275,3
0.0211976,2.42275,3
0.020794,2.4301,3
0.020794,2.4301,3
0.0213443,2.45989,3
0.0210483,2.45047,3
0.0213964,2.43466,3
0.0222786,2.42406,3
0.0222786,2.42406,3
0.0222786,2.42406,3
0.0222996,2.4193,3
0.0218188,2.41826,3
0.0218053,2.40907,3
0.021301,2.40334,3
0.021301,2.40334,3
0.0211375,2.38072,3
0.0230141,2.38562,4
0.0231391,2.36547,4
0.0231391,2.36547,4
0.0234389,2.33395,4
0.0234389,2.33395,4
0.0234389,2.33395,4
0.0234389,2.33395,4
0.0233799,2.39672,4
0.0236859,2.38134,4
0.0236859,2.38134,4
0.0236859,2.38134,4
0.0232411,2.39752,4
0.0232411,2.39752,4
0.0228091,2.40108,4
0.0225067,2.42091,4
0.0222825,2.43712,4
0.0226095,2.43627,4
0.0228621,2.43099,4
0.023096,2.44344,4
0.0231716,2.44216,4
0.0231716,2.44216,4
0.0231716,2.44216,4
0.0232186,2.4708,4
0.0232186,2.4708,4
0.0235085,2.4694,4
0.0235085,2.4694,4
0.0235085,2.4694,4
0.0235224,2.47762,4
0.0233421,2.46894,4
0.0233526,2.47185,4
0.0238384,2.44716,4
0.0238384,2.44716,4
